cob_dt,list_result
20-04-2024,"05,17,20,22,29,33,48,51,54,57,60,63,79,85,86,89,90,92,95,99"
21-04-2024,"03,09,11,15,22,25,26,30,32,36,39,43,59,62,70,71,75,77,80,84,86,91,92"
22-04-2024,"00,06,08,14,21,22,23,25,31,36,37,43,51,53,56,62,63,69,79,82,84,85,93,95"
23-04-2024,"01,06,07,08,15,16,17,18,22,26,28,33,38,41,52,66,68,71,77,81,90,91,92,94,97"
24-04-2024,"01,10,22,24,26,28,41,44,47,50,52,53,54,57,58,60,61,64,65,67,69,82,93"
25-04-2024,"00,03,08,13,22,23,30,36,50,57,60,62,64,65,71,76,77,78,81,88,90,94,95,98"
26-04-2024,"02,10,12,18,19,20,30,35,37,49,51,57,59,60,64,67,74,77,78,79,82,85,92,93"
27-04-2024,"02,11,16,18,19,21,25,27,30,35,42,43,47,48,49,56,57,60,66,70,71,80,89,91,93,97,99"
28-04-2024,"01,02,25,27,35,40,45,46,49,55,57,60,61,66,71,72,73,74,75,79,86,92,95,96"
29-04-2024,"02,03,04,08,12,18,21,28,30,32,37,40,42,45,48,59,60,61,64,74,75,76,77,82,89,91"
30-04-2024,"00,02,10,11,12,19,23,24,28,35,42,47,52,53,54,59,64,65,66,81,82,83,86,87,92"
01-05-2024,"05,07,18,27,30,31,32,33,35,39,43,46,52,60,61,63,66,76,77,82,89,92,95,97,98"
02-05-2024,"01,18,20,21,23,24,25,29,32,34,36,37,39,40,49,63,65,67,72,74,90,91,94,99"
03-05-2024,"00,11,13,18,21,31,33,43,45,46,57,69,77,78,82,83,85,86,89,95,98,99"
04-05-2024,"03,10,12,17,19,20,25,28,30,32,33,45,50,55,58,61,62,67,69,72,74,75,77,90,92,95"
05-05-2024,"05,15,20,22,27,30,36,45,52,54,63,67,68,73,78,82,83,89,93,95,96"
06-05-2024,"00,01,03,11,22,24,32,34,41,44,45,56,58,61,67,69,71,75,81,82,84,93,96,97,98"
07-05-2024,"01,04,17,18,22,28,30,39,40,41,49,50,53,57,58,60,66,73,76,79,86,93,97,98"
08-05-2024,"07,09,10,19,22,24,25,26,29,35,43,47,52,56,57,58,63,66,73,79,84,94,95,98"
09-05-2024,"01,10,12,14,25,30,34,41,44,45,49,53,55,56,58,59,60,61,62,68,71,73,76,77,87,89,98"
10-05-2024,"14,15,19,25,28,30,36,40,52,55,57,59,61,62,64,67,69,70,71,75,81,88,96,98"
11-05-2024,"00,02,06,21,26,30,32,45,46,50,52,64,69,76,77,79,80,81,82,86,87,95,99"
12-05-2024,"05,06,08,19,20,21,30,33,38,40,47,51,52,57,59,62,63,65,75,76,80,82,88,89,90,91,97"
13-05-2024,"00,02,06,07,13,19,20,26,27,35,37,40,44,49,59,60,62,63,65,67,72,83,90,96"
14-05-2024,"03,10,13,14,16,18,25,26,28,31,34,38,45,48,58,61,63,65,66,80,81,91,96,97,99"
15-05-2024,"09,10,12,16,17,21,25,26,29,30,31,33,36,40,52,53,64,70,72,88,89,90,94,98"
16-05-2024,"00,06,09,24,25,30,34,38,42,44,48,51,52,65,68,72,74,82,90,92,93,95"
17-05-2024,"10,11,23,31,32,38,40,41,45,49,54,62,67,68,70,71,80,90,95,99"
18-05-2024,"04,05,07,09,17,18,19,22,25,34,39,47,53,61,64,65,69,70,76,80,82,87,94"
19-05-2024,"02,05,10,24,25,33,35,39,43,48,62,68,69,77,78,80,85,86,92,95,96,98"
20-05-2024,"08,10,20,22,24,25,45,49,50,52,53,61,66,67,69,72,75,81,86,89,90,91,95,98"
21-05-2024,"00,01,02,06,09,18,28,32,37,39,45,47,50,58,61,62,63,67,73,75,79,85,87,88,89"
22-05-2024,"06,08,12,17,22,26,30,36,40,43,44,45,55,61,62,64,68,74,75,76,78,87,95,97"
